epoch,accuracy,loss,val_accuracy,val_loss
1,0.2664092779159546,1.4208070039749146,0.3103448152542114,1.3860095739364624
2,0.27413126826286316,1.3810856342315674,0.27586206793785095,1.3859621286392212
3,0.23938223719596863,1.3847837448120117,0.3103448152542114,1.385911464691162
4,0.23552124202251434,1.3929847478866577,0.3103448152542114,1.3858450651168823
5,0.2277992218732834,1.3851830959320068,0.3448275923728943,1.3857696056365967
6,0.2702702581882477,1.3890572786331177,0.3448275923728943,1.3856849670410156
7,0.2895752787590027,1.3731685876846313,0.3448275923728943,1.3856028318405151
8,0.27799227833747864,1.3803248405456543,0.37931033968925476,1.385492205619812
9,0.31274130940437317,1.3711904287338257,0.37931033968925476,1.3853654861450195
10,0.23938223719596863,1.382328987121582,0.37931033968925476,1.3852462768554688
11,0.2664092779159546,1.3851635456085205,0.37931033968925476,1.3851025104522705
12,0.2818532884120941,1.3750958442687988,0.3448275923728943,1.3849385976791382
13,0.29729729890823364,1.3715325593948364,0.27586206793785095,1.3847731351852417
14,0.2509652376174927,1.3839833736419678,0.24137930572032928,1.3846096992492676
15,0.3320463299751282,1.3592050075531006,0.24137930572032928,1.3843995332717896
16,0.29729729890823364,1.3698399066925049,0.24137930572032928,1.3841760158538818
17,0.3281853199005127,1.3719545602798462,0.24137930572032928,1.3839324712753296
18,0.2857142984867096,1.37333345413208,0.24137930572032928,1.3836427927017212
19,0.3281853199005127,1.3629025220870972,0.24137930572032928,1.3833086490631104
20,0.29729729890823364,1.3737915754318237,0.24137930572032928,1.3829375505447388
21,0.3667953610420227,1.3566069602966309,0.24137930572032928,1.3825418949127197
22,0.31274130940437317,1.361144781112671,0.24137930572032928,1.3820788860321045
23,0.29729729890823364,1.36716890335083,0.24137930572032928,1.3815363645553589
24,0.3667953610420227,1.3499858379364014,0.24137930572032928,1.380957841873169
25,0.3281853199005127,1.349560022354126,0.24137930572032928,1.3803551197052002
26,0.3436293303966522,1.356992483139038,0.24137930572032928,1.3796947002410889
27,0.33590734004974365,1.3493831157684326,0.24137930572032928,1.378943920135498
28,0.31274130940437317,1.3576267957687378,0.24137930572032928,1.378100037574768
29,0.38223937153816223,1.334330677986145,0.24137930572032928,1.3771917819976807
30,0.3861003816127777,1.342006802558899,0.24137930572032928,1.3762354850769043
31,0.3088802993297577,1.3457458019256592,0.24137930572032928,1.375251293182373
32,0.3204633295536041,1.3426685333251953,0.24137930572032928,1.374204397201538
33,0.3629343509674072,1.3352783918380737,0.24137930572032928,1.3730366230010986
34,0.3629343509674072,1.338016390800476,0.24137930572032928,1.371764898300171
35,0.3436293303966522,1.3385519981384277,0.24137930572032928,1.3704193830490112
36,0.39382240176200867,1.3264539241790771,0.24137930572032928,1.3689261674880981
37,0.33590734004974365,1.3389756679534912,0.24137930572032928,1.3671993017196655
38,0.3629343509674072,1.3217151165008545,0.24137930572032928,1.3653873205184937
39,0.3243243098258972,1.319309949874878,0.24137930572032928,1.3634346723556519
40,0.37451738119125366,1.3207850456237793,0.24137930572032928,1.3614798784255981
41,0.3706563711166382,1.3263870477676392,0.24137930572032928,1.3593350648880005
42,0.33590734004974365,1.3167216777801514,0.2068965584039688,1.3572345972061157
43,0.39382240176200867,1.305870771408081,0.17241379618644714,1.35520339012146
44,0.35907337069511414,1.3172411918640137,0.17241379618644714,1.3531464338302612
45,0.37837839126586914,1.3105967044830322,0.17241379618644714,1.3508692979812622
46,0.3281853199005127,1.3094351291656494,0.17241379618644714,1.348241925239563
47,0.4092664122581482,1.2945711612701416,0.17241379618644714,1.3455779552459717
48,0.3667953610420227,1.2893980741500854,0.2068965584039688,1.3428659439086914
49,0.3899613916873932,1.2852098941802979,0.24137930572032928,1.340354084968567
50,0.3899613916873932,1.2899900674819946,0.24137930572032928,1.3380134105682373
51,0.3667953610420227,1.295800805091858,0.24137930572032928,1.3355873823165894
52,0.3474903404712677,1.2953187227249146,0.24137930572032928,1.3328864574432373
53,0.3899613916873932,1.2782518863677979,0.24137930572032928,1.3301501274108887
54,0.37837839126586914,1.2916465997695923,0.24137930572032928,1.3272913694381714
55,0.42084941267967224,1.2729843854904175,0.24137930572032928,1.3245378732681274
56,0.3706563711166382,1.2683167457580566,0.24137930572032928,1.3220582008361816
57,0.4054054021835327,1.27409827709198,0.24137930572032928,1.3196638822555542
58,0.41312742233276367,1.2658027410507202,0.24137930572032928,1.3172110319137573
59,0.4247104227542877,1.2687464952468872,0.24137930572032928,1.3146709203720093
60,0.38223937153816223,1.2801754474639893,0.24137930572032928,1.312368631362915
61,0.41698840260505676,1.2557066679000854,0.24137930572032928,1.3101364374160767
62,0.39768341183662415,1.2754857540130615,0.24137930572032928,1.3080757856369019
63,0.3706563711166382,1.2805553674697876,0.24137930572032928,1.306092619895935
64,0.42084941267967224,1.243965744972229,0.24137930572032928,1.3039566278457642
65,0.4054054021835327,1.2719826698303223,0.24137930572032928,1.3017014265060425
66,0.38223937153816223,1.2492040395736694,0.24137930572032928,1.2992618083953857
67,0.4285714328289032,1.2578831911087036,0.24137930572032928,1.2965879440307617
68,0.4054054021835327,1.2375415563583374,0.24137930572032928,1.294440746307373
69,0.4440154433250427,1.2285985946655273,0.24137930572032928,1.2927104234695435
70,0.41698840260505676,1.2501575946807861,0.24137930572032928,1.2905374765396118
71,0.3861003816127777,1.2322889566421509,0.24137930572032928,1.28889000415802
72,0.44015443325042725,1.210072636604309,0.24137930572032928,1.2866467237472534
73,0.37451738119125366,1.241369605064392,0.24137930572032928,1.2850794792175293
74,0.4247104227542877,1.239402413368225,0.24137930572032928,1.2839053869247437
75,0.4054054021835327,1.252166748046875,0.24137930572032928,1.2829060554504395
76,0.4440154433250427,1.238310694694519,0.24137930572032928,1.281599521636963
77,0.4324324429035187,1.2384274005889893,0.24137930572032928,1.280200481414795
78,0.42084941267967224,1.221907138824463,0.24137930572032928,1.278775691986084
79,0.4478764533996582,1.2158420085906982,0.24137930572032928,1.277134656906128
80,0.41312742233276367,1.24445641040802,0.24137930572032928,1.2759225368499756
81,0.4478764533996582,1.226117491722107,0.24137930572032928,1.2749054431915283
82,0.41312742233276367,1.2206833362579346,0.24137930572032928,1.2731716632843018
83,0.3899613916873932,1.2358640432357788,0.24137930572032928,1.2716386318206787
84,0.43629342317581177,1.2419099807739258,0.24137930572032928,1.270462989807129
85,0.4324324429035187,1.236520767211914,0.24137930572032928,1.2687413692474365
86,0.42084941267967224,1.209743618965149,0.24137930572032928,1.2676469087600708
87,0.41312742233276367,1.2357975244522095,0.24137930572032928,1.2665706872940063
88,0.43629342317581177,1.2059910297393799,0.24137930572032928,1.265504002571106
89,0.4285714328289032,1.230131983757019,0.24137930572032928,1.2641953229904175
90,0.45945945382118225,1.2198210954666138,0.24137930572032928,1.2635283470153809
91,0.4092664122581482,1.2290641069412231,0.24137930572032928,1.2630293369293213
92,0.4517374634742737,1.2109023332595825,0.24137930572032928,1.2622960805892944
93,0.43629342317581177,1.2134371995925903,0.2068965584039688,1.2615662813186646
94,0.4478764533996582,1.2148447036743164,0.24137930572032928,1.2604485750198364
95,0.48262548446655273,1.1986184120178223,0.24137930572032928,1.2593379020690918
