epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.2857142984867096,1.3936837911605835,0.2068965584039688,1.386493444442749,0.0010000000474974513
2,0.3050193190574646,1.375999927520752,0.24137930572032928,1.386409878730774,0.0010000000474974513
3,0.25482624769210815,1.38285493850708,0.27586206793785095,1.386285424232483,0.0010000000474974513
4,0.25868725776672363,1.3807586431503296,0.27586206793785095,1.386137843132019,0.0010000000474974513
5,0.27413126826286316,1.3816527128219604,0.27586206793785095,1.3859772682189941,0.0010000000474974513
6,0.23938223719596863,1.3882354497909546,0.27586206793785095,1.3858153820037842,0.0010000000474974513
7,0.27799227833747864,1.385284185409546,0.27586206793785095,1.3856619596481323,0.0010000000474974513
8,0.2702702581882477,1.3824797868728638,0.27586206793785095,1.3855085372924805,0.0010000000474974513
9,0.25868725776672363,1.3815308809280396,0.27586206793785095,1.3853434324264526,0.0010000000474974513
10,0.29343628883361816,1.3771852254867554,0.27586206793785095,1.3851954936981201,0.0010000000474974513
11,0.29343628883361816,1.3779833316802979,0.27586206793785095,1.3850239515304565,0.0010000000474974513
12,0.2702702581882477,1.379220962524414,0.27586206793785095,1.3848353624343872,0.0010000000474974513
13,0.3474903404712677,1.37246835231781,0.27586206793785095,1.3846232891082764,0.0010000000474974513
14,0.3011583089828491,1.374704122543335,0.27586206793785095,1.384405493736267,0.0010000000474974513
15,0.31274130940437317,1.3724340200424194,0.27586206793785095,1.3841882944107056,0.0010000000474974513
16,0.3088802993297577,1.381049394607544,0.27586206793785095,1.3839367628097534,0.0010000000474974513
17,0.3011583089828491,1.3752349615097046,0.27586206793785095,1.3836495876312256,0.0010000000474974513
18,0.2895752787590027,1.3745795488357544,0.27586206793785095,1.3833465576171875,0.0010000000474974513
19,0.31274130940437317,1.3686323165893555,0.27586206793785095,1.3829892873764038,0.0010000000474974513
20,0.2857142984867096,1.3702765703201294,0.27586206793785095,1.3825749158859253,0.0010000000474974513
21,0.31660231947898865,1.3701764345169067,0.27586206793785095,1.3821605443954468,0.0010000000474974513
22,0.3243243098258972,1.3672170639038086,0.27586206793785095,1.3816732168197632,0.0010000000474974513
23,0.33590734004974365,1.3710414171218872,0.27586206793785095,1.3812241554260254,0.0010000000474974513
24,0.27799227833747864,1.3649007081985474,0.27586206793785095,1.3807843923568726,0.0010000000474974513
25,0.3204633295536041,1.3723806142807007,0.27586206793785095,1.3802850246429443,0.0010000000474974513
26,0.31660231947898865,1.3712455034255981,0.3103448152542114,1.379715919494629,0.0010000000474974513
27,0.3281853199005127,1.3618630170822144,0.3103448152542114,1.3790247440338135,0.0010000000474974513
28,0.3281853199005127,1.354284405708313,0.3103448152542114,1.378294825553894,0.0010000000474974513
29,0.3204633295536041,1.3698705434799194,0.3103448152542114,1.3773659467697144,0.0010000000474974513
30,0.3629343509674072,1.3621166944503784,0.3448275923728943,1.3762880563735962,0.0010000000474974513
31,0.3088802993297577,1.3595417737960815,0.3448275923728943,1.3751287460327148,0.0010000000474974513
32,0.2895752787590027,1.355466604232788,0.3448275923728943,1.3738313913345337,0.0010000000474974513
33,0.3243243098258972,1.3591372966766357,0.3448275923728943,1.372462511062622,0.0010000000474974513
34,0.3281853199005127,1.351928472518921,0.3448275923728943,1.3708879947662354,0.0010000000474974513
35,0.3204633295536041,1.348983645439148,0.3448275923728943,1.3691002130508423,0.0010000000474974513
36,0.3088802993297577,1.3553688526153564,0.3448275923728943,1.3672839403152466,0.0010000000474974513
37,0.3474903404712677,1.3471020460128784,0.3448275923728943,1.3655024766921997,0.0010000000474974513
38,0.33590734004974365,1.3451586961746216,0.3448275923728943,1.3637244701385498,0.0010000000474974513
39,0.3629343509674072,1.3423599004745483,0.3103448152542114,1.361674189567566,0.0010000000474974513
40,0.33976835012435913,1.3479379415512085,0.3448275923728943,1.3594805002212524,0.0010000000474974513
41,0.31274130940437317,1.3482285737991333,0.3448275923728943,1.3571202754974365,0.0010000000474974513
42,0.3436293303966522,1.3477070331573486,0.3448275923728943,1.3544280529022217,0.0010000000474974513
43,0.35907337069511414,1.3331172466278076,0.3448275923728943,1.352024793624878,0.0010000000474974513
44,0.3513513505458832,1.3311384916305542,0.3448275923728943,1.3495304584503174,0.0010000000474974513
45,0.33976835012435913,1.3291603326797485,0.3103448152542114,1.3469394445419312,0.0010000000474974513
46,0.3436293303966522,1.3209187984466553,0.3103448152542114,1.3442519903182983,0.0010000000474974513
47,0.3513513505458832,1.322270393371582,0.3448275923728943,1.3414348363876343,0.0010000000474974513
48,0.37837839126586914,1.315725564956665,0.3448275923728943,1.3380236625671387,0.0010000000474974513
49,0.35521236062049866,1.3181474208831787,0.3448275923728943,1.3346422910690308,0.0010000000474974513
50,0.33590734004974365,1.3334360122680664,0.3448275923728943,1.3310935497283936,0.0010000000474974513
51,0.35521236062049866,1.3241255283355713,0.3448275923728943,1.327695608139038,0.0010000000474974513
52,0.3474903404712677,1.3127869367599487,0.3448275923728943,1.3244729042053223,0.0010000000474974513
53,0.3320463299751282,1.3335515260696411,0.37931033968925476,1.3211954832077026,0.0010000000474974513
54,0.3011583089828491,1.3430410623550415,0.37931033968925476,1.318327784538269,0.0010000000474974513
55,0.3436293303966522,1.3228741884231567,0.37931033968925476,1.3157527446746826,0.0010000000474974513
56,0.3513513505458832,1.3095293045043945,0.37931033968925476,1.3131734132766724,0.0010000000474974513
57,0.35521236062049866,1.2986760139465332,0.37931033968925476,1.3105354309082031,0.0010000000474974513
58,0.3513513505458832,1.3077027797698975,0.3448275923728943,1.308255910873413,0.0010000000474974513
59,0.33976835012435913,1.3105899095535278,0.3448275923728943,1.305694580078125,0.0010000000474974513
60,0.33976835012435913,1.306071400642395,0.3448275923728943,1.3027633428573608,0.0010000000474974513
