model,valid_accuracy,valid_macro_f1,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall
EEGNet,0.6551724137931034,0.6609848484848485,0.7465277777777778,0.7458689053633276,0.7575492763162077,0.7465277777777778
CSP + LDA,0.7586206896551724,0.749702380952381,0.8159722222222222,0.8177652603655472,0.8247658096560387,0.8159722222222222
